"action_type","type","id","visible","version","changeset","timestamp","user","uid","lat","lon"
"modify","node","1705928633",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071591","4.3971661"
"modify","node","1705928636",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071655","4.3972985"
"delete","node","1705928638",FALSE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","node","1705928656",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071682","4.3971791"
"modify","node","1705928658",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071856","4.3973475"
"modify","node","1705928660",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071841","4.3972130"
"delete","node","1705928661",FALSE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"delete","node","1705928663",FALSE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","node","9693073869",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071146","4.3972002"
"modify","way","158381342",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","158381352",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","1394191907",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","1427317965",TRUE,2,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","node","1705912294",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2069707","4.3970460"
"modify","node","1705912300",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070009","4.3970694"
"modify","node","1705912322",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070873","4.3971595"
"modify","node","1705912332",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071300","4.3972264"
"modify","node","1705928634",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071452","4.3972560"
"modify","node","1705928692",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2074248","4.3979581"
"modify","node","3174604076",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068407","4.3969916"
"delete","node","3174604083",FALSE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","node","8589616797",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068357","4.3969259"
"modify","node","9693073863",TRUE,3,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073918","4.3979206"
"modify","node","1705912227",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068261","4.3969249"
"modify","node","3174604077",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068490","4.3969271"
"modify","node","3174604078",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068717","4.3970002"
"modify","node","3174604079",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2069934","4.3969818"
"modify","node","8040183766",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073920","4.3978297"
"modify","node","8040183767",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073840","4.3978317"
"modify","node","8040183768",TRUE,4,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073455","4.3978412"
"modify","node","259472273",TRUE,5,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071450","4.3971460"
"modify","node","1705928667",TRUE,5,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2073499","4.3978401"
"modify","node","3174604080",TRUE,5,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2070279","4.3970928"
"modify","node","1705928628",TRUE,6,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2068886","4.3963016"
"modify","node","1705928629",TRUE,6,"171500905",2025-09-05 14:04:06,"multimob","14088321","51.2071019","4.3970864"
"modify","way","158381348",TRUE,8,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","178502007",TRUE,8,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","158381329",TRUE,9,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","23938230",TRUE,10,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","158381341",TRUE,10,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
"modify","way","23938249",TRUE,11,"171500905",2025-09-05 14:04:06,"multimob","14088321",NA,NA
